Direction,ID,LEN,PLC,DATA,CRC,
"to",0x0A,0x06,0xF9,"0x18 0x02 0x00 0x19 0x9A",0x6C,
"from",0x0D,0x02,0xFD,"0x18",0xEA,
"from",0x3D,0x02,0xFD,"0x9B",0x59,
"from",0x39,0x08,0xF7,"0x9C 0x01 0x02 0x18 0x0D 0x37 0xB0",0xCB,
"from",0x39,0x08,0xF7,"0x9D 0x01 0x02 0x14 0x17 0x23 0x04",0x7C,
"from",0x39,0x08,0xF7,"0x9E 0x01 0x02 0xC8 0x17 0x23 0x04",0xA3,
"from",0x39,0x08,0xF7,"0x9F 0x01 0x00 0x1D 0x0C 0x01 0xA5",0xED,
"from",0x39,0x08,0xF7,"0xA0 0x01 0x00 0x1D 0x43 0x01 0xA5",0x9D,
"from",0x31,0x4E,0xB1,"0xA1 0x01 0x01 0xC2 0x0C 0x38 0x0A 0x01 0x00 0x00 0x00 0x00 0x00 0x80 0x06 0x00 0x00 0x00 0x00 0x00 0x60 0x18 0x00 0x00 0x00 0x00 0x00 0x18 0x60 0x00 0x00 0x00 0x00 0x00 0x06 0x80 0x01 0x00 0x00 0x00 0x80 0x01 0x00 0x06 0x00 0x00 0x00 0x60 0x00 0x00 0x38 0x00 0x00 0x00 0x1C 0x00 0x00 0xC0 0x03 0x00 0xC0 0x03 0x00 0x00 0x00 0xFC 0x00 0x3F 0x00 0x00 0x00 0x00 0x00 0xFF 0x00 0x00 0x00",0x6C,
"from",0x39,0x08,0xF7,"0xA2 0x01 0x02 0x26 0x0F 0x0C 0x5D",0x1F,
"from",0x31,0x0D,0xF2,"0xA3 0x01 0x00 0x27 0x11 0x07 0x05 0x3F 0x40 0x40 0x40 0x3F",0x18,
"from",0x31,0x0D,0xF2,"0xA4 0x01 0x00 0x2D 0x13 0x07 0x05 0x7F 0x11 0x11 0x11 0x0E",0x37,
"from",0x31,0x0D,0xF2,"0xA5 0x01 0x00 0x33 0x11 0x07 0x05 0x38 0x44 0x44 0x44 0x7F",0x49,
"from",0x31,0x0D,0xF2,"0xA6 0x01 0x00 0x39 0x13 0x05 0x05 0x0E 0x11 0x11 0x1F 0x10",0x42,
"from",0x31,0x0C,0xF3,"0xA7 0x01 0x00 0x3F 0x11 0x07 0x04 0x04 0x3F 0x44 0x40",0x7A,
"from",0x31,0x0D,0xF2,"0xA8 0x01 0x00 0x44 0x13 0x05 0x05 0x0E 0x15 0x15 0x15 0x06",0x2D,
"from",0x31,0x0A,0xF5,"0xA9 0x01 0x00 0x4A 0x0F 0x07 0x02 0x00 0x00",0x26,
"from",0x31,0x0D,0xF2,"0xAA 0x01 0x00 0x4D 0x13 0x05 0x05 0x12 0x15 0x15 0x15 0x08",0x34,
"from",0x31,0x0C,0xF3,"0xAB 0x01 0x00 0x53 0x11 0x07 0x04 0x04 0x3F 0x44 0x40",0x1A,
